"source_settlement_raw","municipality","original_region","mapping_source","event_date"
"קדיתא","קדיתא","?? ?????","unmapped_fallback","2026-03-19"
"חמדת ימים","חמדת ימים","?? ?????","unmapped_fallback","2026-03-19"
"מנחת מחניים","מנחת מחניים","?? ?????","unmapped_fallback","2026-03-19"
"כורזים ורד הגליל","כורזים ורד הגליל","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר צלמון","בית סוהר צלמון","?? ?????","unmapped_fallback","2026-03-19"
"גבעת וולפסון","גבעת וולפסון","?? ?????","unmapped_fallback","2026-03-19"
"בית העלמין החדש עכו","בית העלמין החדש עכו","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר קישון","בית סוהר קישון","?? ?????","unmapped_fallback","2026-03-19"
"בית עלמין תל רגב","בית עלמין תל רגב","?? ?????","unmapped_fallback","2026-03-19"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-19"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-19"
"חוות יאיר","חוות יאיר","?? ?????","unmapped_fallback","2026-03-19"
"הר ברכה","הר ברכה","?? ?????","unmapped_fallback","2026-03-19"
"חוות אביחי","חוות אביחי","?? ?????","unmapped_fallback","2026-03-19"
"החווה של יאיא","החווה של יאיא","?? ?????","unmapped_fallback","2026-03-19"
"חוות גנות","חוות גנות","?? ?????","unmapped_fallback","2026-03-19"
"חוות מגדלים","חוות מגדלים","?? ?????","unmapped_fallback","2026-03-19"
"חוות נוף אב""י","חוות נוף אב""י","?? ?????","unmapped_fallback","2026-03-19"
"חוות נחל שילה","חוות נחל שילה","?? ?????","unmapped_fallback","2026-03-19"
"חוות פריאל","חוות פריאל","?? ?????","unmapped_fallback","2026-03-19"
"חוות צרידה","חוות צרידה","?? ?????","unmapped_fallback","2026-03-19"
"חוות שדה","חוות שדה","?? ?????","unmapped_fallback","2026-03-19"
"חוות שוביאל","חוות שוביאל","?? ?????","unmapped_fallback","2026-03-19"
"חוות שחרית","חוות שחרית","?? ?????","unmapped_fallback","2026-03-19"
"מכינת אלישע","מכינת אלישע","?? ?????","unmapped_fallback","2026-03-19"
"חוות עולם חסד","חוות עולם חסד","?? ?????","unmapped_fallback","2026-03-19"
"חוות נווה צוף","חוות נווה צוף","?? ?????","unmapped_fallback","2026-03-19"
"חוות מרום שמואל","חוות מרום שמואל","?? ?????","unmapped_fallback","2026-03-19"
"חוות הרשאש","חוות הרשאש","?? ?????","unmapped_fallback","2026-03-19"
"פנימיית עין כרם","פנימיית עין כרם","?? ?????","unmapped_fallback","2026-03-19"
"גבעת אסף","גבעת אסף","?? ?????","unmapped_fallback","2026-03-19"
"מגרון","מגרון","?? ?????","unmapped_fallback","2026-03-19"
"הררית יחד","הררית יחד","?? ?????","unmapped_fallback","2026-03-19"
"חג'אג'רה","חג'אג'רה","?? ?????","unmapped_fallback","2026-03-19"
"גבעת וולפסון","גבעת וולפסון","?? ?????","unmapped_fallback","2026-03-19"
"כעביה טבאש","כעביה טבאש","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר קישון","בית סוהר קישון","?? ?????","unmapped_fallback","2026-03-19"
"בית עלמין תל רגב","בית עלמין תל רגב","?? ?????","unmapped_fallback","2026-03-19"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-19"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-19"
"אתר ההנצחה גולני","אתר ההנצחה גולני","?? ?????","unmapped_fallback","2026-03-19"
"אלון","אלון","?? ?????","unmapped_fallback","2026-03-19"
"גבעת אסף","גבעת אסף","?? ?????","unmapped_fallback","2026-03-19"
"בית חגלה","בית חגלה","?? ?????","unmapped_fallback","2026-03-19"
"בני אדם","בני אדם","?? ?????","unmapped_fallback","2026-03-19"
"החווה של זוהר","החווה של זוהר","?? ?????","unmapped_fallback","2026-03-19"
"חוות בניהו","חוות בניהו","?? ?????","unmapped_fallback","2026-03-19"
"חוות הרועה העברי","חוות הרועה העברי","?? ?????","unmapped_fallback","2026-03-19"
"חוות חנינא","חוות חנינא","?? ?????","unmapped_fallback","2026-03-19"
"חוות ינון","חוות ינון","?? ?????","unmapped_fallback","2026-03-19"
"חוות מלכיאל","חוות מלכיאל","?? ?????","unmapped_fallback","2026-03-19"
"חוות נחלת צבי","חוות נחלת צבי","?? ?????","unmapped_fallback","2026-03-19"
"מגרון","מגרון","?? ?????","unmapped_fallback","2026-03-19"
"נופי פרת","נופי פרת","?? ?????","unmapped_fallback","2026-03-19"
"צומת אלמוג","צומת אלמוג","?? ?????","unmapped_fallback","2026-03-19"
"צורית גילון","צורית גילון","?? ?????","unmapped_fallback","2026-03-19"
"כורזים ורד הגליל","כורזים ורד הגליל","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר צלמון","בית סוהר צלמון","?? ?????","unmapped_fallback","2026-03-19"
"הררית יחד","הררית יחד","?? ?????","unmapped_fallback","2026-03-19"
"לוטם וחמדון","לוטם וחמדון","?? ?????","unmapped_fallback","2026-03-19"
"מע'אר","מע'אר","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי רמת כורזים","מרכז אזורי רמת כורזים","?? ?????","unmapped_fallback","2026-03-19"
"חמדת ימים","חמדת ימים","?? ?????","unmapped_fallback","2026-03-19"
"מנחת מחניים","מנחת מחניים","?? ?????","unmapped_fallback","2026-03-19"
"גבעת וולפסון","גבעת וולפסון","?? ?????","unmapped_fallback","2026-03-19"
"צורית גילון","צורית גילון","?? ?????","unmapped_fallback","2026-03-19"
"בית העלמין החדש עכו","בית העלמין החדש עכו","?? ?????","unmapped_fallback","2026-03-19"
"בית עלמין תל רגב","בית עלמין תל רגב","?? ?????","unmapped_fallback","2026-03-19"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-19"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר קישון","בית סוהר קישון","?? ?????","unmapped_fallback","2026-03-19"
"כעביה טבאש","כעביה טבאש","?? ?????","unmapped_fallback","2026-03-19"
"גבעת וולפסון","גבעת וולפסון","?? ?????","unmapped_fallback","2026-03-19"
"חג'אג'רה","חג'אג'רה","?? ?????","unmapped_fallback","2026-03-19"
"כעביה טבאש","כעביה טבאש","?? ?????","unmapped_fallback","2026-03-19"
"אתר ההנצחה גולני","אתר ההנצחה גולני","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר צלמון","בית סוהר צלמון","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר קישון","בית סוהר קישון","?? ?????","unmapped_fallback","2026-03-19"
"הררית יחד","הררית יחד","?? ?????","unmapped_fallback","2026-03-19"
"לוטם וחמדון","לוטם וחמדון","?? ?????","unmapped_fallback","2026-03-19"
"מע'אר","מע'אר","?? ?????","unmapped_fallback","2026-03-19"
"בית עלמין תל רגב","בית עלמין תל רגב","?? ?????","unmapped_fallback","2026-03-19"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-19"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-19"
"צורית גילון","צורית גילון","?? ?????","unmapped_fallback","2026-03-19"
"הר חלוץ","הר חלוץ","?? ?????","unmapped_fallback","2026-03-19"
"בית העלמין החדש עכו","בית העלמין החדש עכו","?? ?????","unmapped_fallback","2026-03-19"
"חמדת ימים","חמדת ימים","?? ?????","unmapped_fallback","2026-03-19"
"בית העלמין החדש נהריה","בית העלמין החדש נהריה","?? ?????","unmapped_fallback","2026-03-19"
"בית ספר שדה מירון","בית ספר שדה מירון","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי מרום גליל","מרכז אזורי מרום גליל","?? ?????","unmapped_fallback","2026-03-19"
"קדיתא","קדיתא","?? ?????","unmapped_fallback","2026-03-19"
"כורזים ורד הגליל","כורזים ורד הגליל","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי רמת כורזים","מרכז אזורי רמת כורזים","?? ?????","unmapped_fallback","2026-03-19"
"אזור תעשייה קדמת גליל","אזור תעשייה קדמת גליל","?? ?????","unmapped_fallback","2026-03-19"
"חוות ראש תאנה","חוות ראש תאנה","?? ?????","unmapped_fallback","2026-03-19"
"חוות עדן","חוות עדן","?? ?????","unmapped_fallback","2026-03-19"
"בר כוכבא","בר כוכבא","?? ?????","unmapped_fallback","2026-03-19"
"גבעות","גבעות","?? ?????","unmapped_fallback","2026-03-19"
"חוות קשואלה","חוות קשואלה","?? ?????","unmapped_fallback","2026-03-19"
"חוות ארץ האיילים","חוות ארץ האיילים","?? ?????","unmapped_fallback","2026-03-19"
"פנימיית עין כרם","פנימיית עין כרם","?? ?????","unmapped_fallback","2026-03-19"
"אלון","אלון","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי מגילות","מרכז אזורי מגילות","?? ?????","unmapped_fallback","2026-03-19"
"בית חגלה","בית חגלה","?? ?????","unmapped_fallback","2026-03-19"
"בני אדם","בני אדם","?? ?????","unmapped_fallback","2026-03-19"
"החווה של זוהר","החווה של זוהר","?? ?????","unmapped_fallback","2026-03-19"
"חוות בניהו","חוות בניהו","?? ?????","unmapped_fallback","2026-03-19"
"חוות הרועה העברי","חוות הרועה העברי","?? ?????","unmapped_fallback","2026-03-19"
"חוות חנינא","חוות חנינא","?? ?????","unmapped_fallback","2026-03-19"
"חוות ינון","חוות ינון","?? ?????","unmapped_fallback","2026-03-19"
"חוות מלכיאל","חוות מלכיאל","?? ?????","unmapped_fallback","2026-03-19"
"חוות נחלת צבי","חוות נחלת צבי","?? ?????","unmapped_fallback","2026-03-19"
"מגרון","מגרון","?? ?????","unmapped_fallback","2026-03-19"
"נופי פרת","נופי פרת","?? ?????","unmapped_fallback","2026-03-19"
"צומת אלמוג","צומת אלמוג","?? ?????","unmapped_fallback","2026-03-19"
"קדם ערבה","קדם ערבה","?? ?????","unmapped_fallback","2026-03-19"
"בר כוכבא","בר כוכבא","?? ?????","unmapped_fallback","2026-03-19"
"חוות צאן קדר","חוות צאן קדר","?? ?????","unmapped_fallback","2026-03-19"
"חוות עדן","חוות עדן","?? ?????","unmapped_fallback","2026-03-19"
"אלון","אלון","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי מגילות","מרכז אזורי מגילות","?? ?????","unmapped_fallback","2026-03-19"
"בית חגלה","בית חגלה","?? ?????","unmapped_fallback","2026-03-19"
"בני אדם","בני אדם","?? ?????","unmapped_fallback","2026-03-19"
"חוות בניהו","חוות בניהו","?? ?????","unmapped_fallback","2026-03-19"
"חוות הרועה העברי","חוות הרועה העברי","?? ?????","unmapped_fallback","2026-03-19"
"חוות ינון","חוות ינון","?? ?????","unmapped_fallback","2026-03-19"
"חוות נחלת צבי","חוות נחלת צבי","?? ?????","unmapped_fallback","2026-03-19"
"נופי פרת","נופי פרת","?? ?????","unmapped_fallback","2026-03-19"
"צומת אלמוג","צומת אלמוג","?? ?????","unmapped_fallback","2026-03-19"
"קדם ערבה","קדם ערבה","?? ?????","unmapped_fallback","2026-03-19"
"חוות מלכיאל","חוות מלכיאל","?? ?????","unmapped_fallback","2026-03-19"
"פנימיית עין כרם","פנימיית עין כרם","?? ?????","unmapped_fallback","2026-03-19"
"אלון","אלון","?? ?????","unmapped_fallback","2026-03-19"
"גבעת אסף","גבעת אסף","?? ?????","unmapped_fallback","2026-03-19"
"אעירה השחר","אעירה השחר","?? ?????","unmapped_fallback","2026-03-19"
"בני אדם","בני אדם","?? ?????","unmapped_fallback","2026-03-19"
"החווה של זוהר","החווה של זוהר","?? ?????","unmapped_fallback","2026-03-19"
"חוות בניהו","חוות בניהו","?? ?????","unmapped_fallback","2026-03-19"
